Customer_ID,Order_Date,Age,Gender,City,Subscription_Type,Acquisition_Channel,Product_Category,Total_Orders,Total_Spending,Average_Order_Value,Discount_Percentage,Website_Visits,Avg_Session_Duration_Min,Satisfaction_Score,Support_Tickets,Refund_Requests,Premium_Customer,Churn_Status,Customer_Lifetime_Value
CUST105174,2024-08-08,25.0,Other,Hyderabad,Basic,Organic Search,Home & Kitchen,9,9083.52,1009.28,12.6,15,5.9,5.8,0,0,Yes,No,21380.65
CUST110086,2025-11-29,36.0,Male,Nagpur,Standard,Referral,Sports,7,22681.19,3240.17,1.9,9,7.0,3.2,4,0,No,No,58244.21
CUST101011,2025-08-07,46.0,Male,Ahmedabad,Standard,Referral,Books,3,10725.78,3575.26,13.5,10,10.9,5.9,2,2,No,No,24203.84
CUST111889,2025-11-04,32.0,Male,Kolkata,Basic,Email,Fashion,10,30837.7,3083.77,3.4,13,7.6,6.7,2,1,No,No,93527.38
CUST112632,2024-02-23,33.0,Female,Hyderabad,Standard,Social Media,Beauty,14,41247.22,2946.23,5.3,11,8.9,6.2,3,0,Yes,No,138821.48
CUST108808,2024-09-13,34.0,Male,Pune,Basic,Referral,Books,7,34347.53,4906.79,16.0,17,9.2,8.2,2,0,No,No,89907.72
CUST108516,2025-06-07,36.0,Male,Delhi,Standard,Organic Search,Books,9,6505.2,722.8,9.5,17,14.1,5.8,3,1,Yes,No,20682.12
CUST104520,2024-08-20,26.0,Male,Pune,Basic,Social Media,Electronics,9,14082.93,1564.77,,12,11.1,6.3,3,2,No,No,42575.2
CUST108632,2024-09-06,31.0,Male,Kolkata,Standard,Social Media,Books,5,8014.05,1602.81,10.6,11,4.8,5.5,3,0,No,No,16515.14
CUST101612,2025-06-28,20.0,Male,Bengaluru,Standard,Referral,Home & Kitchen,8,20577.2,2572.15,19.0,9,8.9,7.8,3,1,No,No,50829.41
CUST114533,2025-09-14,42.0,Other,Pune,Premium,Social Media,Electronics,7,16649.01,2378.43,19.5,13,12.8,7.0,0,0,No,No,47744.83
CUST105466,2024-01-31,34.0,Female,Pune,Standard,Social Media,Home & Kitchen,11,25923.15,2356.65,6.3,15,5.8,7.9,1,0,Yes,No,45071.25
CUST101625,2025-06-05,51.0,Male,Ahmedabad,Basic,Social Media,Books,6,7092.06,1182.01,5.5,10,10.7,5.2,2,1,Yes,No,16604.08
CUST101870,2024-04-04,30.0,Female,Pune,Standard,Email,Beauty,9,20022.66,2224.74,9.1,14,4.2,8.0,0,0,No,No,33920.14
CUST113001,2025-07-21,34.0,Male,Bengaluru,Premium,Email,Sports,6,10745.58,1790.93,14.7,20,6.8,8.5,2,0,No,No,29598.56
CUST106434,2024-04-26,22.0,Female,Bengaluru,Standard,Referral,Sports,5,12320.8,2464.16,14.2,10,8.8,8.4,1,0,Yes,No,23544.91
CUST107918,2025-07-18,30.0,Female,Ahmedabad,Standard,Paid Ads,Beauty,3,4327.08,1442.36,14.0,14,5.9,8.3,1,0,No,No,12179.73
CUST110390,2024-08-25,39.0,Male,Jaipur,Standard,Organic Search,Fashion,11,35424.95,3220.45,3.2,9,4.7,4.9,2,0,Yes,No,110814.78
CUST113706,2025-03-02,44.0,Male,Ahmedabad,Basic,Organic Search,Beauty,3,9279.36,3093.12,20.8,13,12.9,4.7,1,0,No,No,13727.68
